"abstract" "accomplished" "accurate" "active" "adventurous" "affected" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "awkward" "bashful" "benevolent" "bitter" "bold" "bright" "brisk" "brutal" "buoyant" "calm" "capable" "careful" "careless" "cautious" "certain" "charitable" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "complicated" "complimentary" "confident" "confused" "considerate" "constant" "conventional" "cool" "cordial" "courteous" "crafty" "cruel" "cunning" "curious" "dainty" "deep" "dependent" "determined" "devilish" "direct" "disdainful" "dissatisfied" "distant" "dull" "eager" "earnest" "elegant" "emphatic" "energetic" "enthusiastic" "envious" "exact" "excessive" "excitable" "expressive" "extravagant" "faithful" "fastidious" "fearful" "feminine" "fervent" "fierce" "fiery" "firm" "flighty" "foolish" "friendly" "frugal" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "greedy" "gruff" "harsh" "hasty" "headlong" "heartless" "hearty" "honest" "humble" "humorous" "ignorant" "immovable" "impatient" "impetuous" "inconsiderate" "independent" "indifferent" "ingenious" "injudicious" "insolent" "intense" "intimate" "intricate" "irritable" "jealous" "juvenile" "kind" "kindly" "languid" "lazy" "literary" "live" "lively" "loud" "malicious" "manly" "maternal" "melodramatic" "merry" "mild" "moderate" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "obliging" "original" "particular" "passionate" "patient" "peaceful" "peevish" "philosophical" "playful" "pleasant" "polite" "precise" "profound" "prompt" "proper" "proud" "prudent" "punctual" "quick" "quiet" "rash" "reasonable" "reckless" "religious" "respectful" "responsible" "restless" "rigid" "rough" "rugged" "sarcastic" "scrupulous" "selfish" "sentimental" "serious" "severe" "silent" "simple" "sincere" "slow" "sluggish" "smart" "solemn" "speedy" "spirited" "sprightly" "stable" "steady" "stern" "straightforward" "strict" "sullen" "suspicious" "talkative" "tender" "thorough" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmanly" "unvarying" "vague" "vain" "vigorous" "violent" "vivid" "warm" "wily" "worldly" "verbal" "wild" "wise" "zealous"
"abstract" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0
"accomplished" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0
"accurate" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"active" 0 0 0 0 0 0 1 2 1 3 0 0 0 0 0 1 2 1 0 0 1 0 0 0 0 3 0 3 0 1 0 0 4 2 1 0 0 0 0 2 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 3 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 1 1 0 0 3 0 1 0 0 1 1 0 0 0 0 0 1 1 3 0 0 0 0 0 1 0 0 0 0 1 2 2 0 0 0 0 1 1 1 0 0 0 0 1 0 1 1 0 2 0 0 0 0 1 1 0 1 0 1 0 2 0 0 0 2 3 0 0 0 1 2 0 0 0 1 0 2 0 0 1 1 3 1 0 0 0 1 1 1 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 4 0 0 0 0 2 0
"adventurous" 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"affected" 0 0 0 0 0 0 0 1 0 2 0 2 1 0 0 2 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 2 0 0 0 0 1 0 0 0 1 0 0 3 1 0 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"affectionate" 1 0 1 1 0 0 0 3 1 3 1 1 0 0 0 1 2 0 0 0 0 1 1 0 0 4 0 2 0 0 1 0 4 1 1 0 0 0 0 0 0 1 0 0 0 1 0 2 1 1 0 1 1 0 0 0 4 2 1 0 1 0 1 1 0 1 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 2 2 3 1 1 0 1 0 0 1 0 2 2 3 0 0 0 3 0 0 0 1 1 0 0 0 1 0 0 1 0 2 1 0 0 0 1 1 2 1 0 1 1 1 0 0 0 1 0 2 4 1 1 0 5 4 0 0 0 0 0 0 3 1 2 3 1 2 2 1 1 0 3 0 0 0 0 0 0 1 0 2 1 0 1 1 0 1 0 3 0 0 0 1 1 1 1 0 2 1 0 3 0 1 0 0 1 2 0 1 0 0 1 1 2 0 0 1 1 0 2 0 5 1 1 1 2 0 0
"agreeable" 0 0 0 2 0 1 3 0 2 3 0 0 0 0 1 2 2 0 0 1 0 0 1 0 0 5 1 1 0 0 1 1 3 0 0 1 0 0 0 2 0 1 0 0 0 0 0 1 0 3 1 1 0 0 0 0 1 2 0 1 1 0 1 0 1 0 0 0 2 1 0 1 3 1 0 1 0 0 0 3 1 1 1 1 1 3 1 1 1 0 1 1 2 1 0 1 1 3 0 1 1 1 0 0 0 0 2 1 0 0 0 1 0 2 0 2 0 3 1 1 1 2 1 0 0 0 1 1 0 0 0 1 0 0 5 0 0 0 1 5 1 0 0 0 0 2 9 1 0 1 0 3 3 0 0 2 4 0 0 0 1 2 0 0 0 1 1 0 2 0 0 1 1 4 0 1 2 0 3 2 0 4 1 1 1 2 1 1 0 0 0 0 2 0 0 0 1 0 0 1 1 0 1 0 3 0 3 1 1 0 1 0 0
"amiable" 0 2 0 1 1 0 1 2 0 1 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 5 1 1 0 0 2 0 2 0 0 0 0 1 0 2 0 0 0 0 1 1 0 1 0 2 0 1 0 0 0 0 0 3 1 1 2 0 0 0 1 0 0 0 3 0 0 1 2 0 0 0 0 2 0 0 2 0 0 0 2 0 4 2 0 0 0 3 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 2 1 0 1 0 1 1 0 0 0 1 0 5 0 1 0 1 4 0 1 0 0 0 1 0 0 1 0 0 3 1 0 0 3 2 1 0 0 0 1 0 0 0 4 0 0 1 0 1 1 2 2 1 0 1 0 0 1 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 0 1 0 1 0 2 0 0
"anxious" 1 0 0 3 1 2 3 3 1 0 0 4 1 1 3 2 3 1 0 0 1 2 5 3 0 10 1 2 2 1 0 1 9 3 1 2 0 0 2 3 1 2 1 1 0 1 2 4 0 7 1 3 2 0 0 0 0 7 4 2 0 0 0 0 0 1 0 1 2 0 2 0 1 0 1 0 0 0 1 7 4 0 1 2 3 4 1 0 3 0 1 3 4 0 0 3 2 5 1 0 3 6 0 1 0 3 1 0 0 2 0 0 0 5 0 7 0 1 2 0 0 0 7 0 0 0 1 2 1 0 2 4 0 0 9 2 3 1 3 10 0 2 0 1 1 1 8 0 0 4 1 3 7 0 2 4 7 0 1 0 2 0 1 2 1 1 0 2 1 5 1 6 2 3 0 0 6 1 2 1 1 0 1 1 2 2 0 1 0 0 3 1 0 2 3 2 1 0 2 0 1 1 1 2 5 2 7 0 1 0 2 0 0
