"" "“if" "“what" "#-back" "#-care" "#-cease" "#-depend" "#-die" "#-discouraged" "#-follow" "#-get" "#-help" "#-kill" "#-look" "#-overflowed" "#-pitch" "#-please" "#-prisoners" "#-rage" "#-rise" "#-said" "#-servant" "#-set" "#-sign" "#-sold" "#-sufficient" "#-thirty" "#-wink" "#-without" "#-worthy" "abetted" "abridgment" "abroad" "accomplishing" "accordingly" "accustomed" "admirably" "ado" "advancement" "adventure" "afflicted" "affliction" "alight" "all”" "along" "amiss" "anticipated" "anything" "apparently" "appearing" "approach" "ardent" "argued" "arriving" "arrow”" "astern" "ate" "attending" "attention" "authority" "aware" "back" "backwards" "bags" "barbarities" "barque" "beak" "beard" "beasts" "become" "bed" "befell" "begun" "better”" "bidding" "blessings" "boat—and" "boatswain" "bodies" "booty" "both" "bountifully" "bows" "box" "breeze" "cake" "calendar" "calling" "cannot" "capable" "cape" "capitulate" "care" "cask" "casks" "casting" "castle" "cattle" "caution" "cease" "chamber" "cheered" "cheese" "chew" "citron" "city" "collection" "comforted" "commands" "companion" "company" "complied" "condition—to" "confirmed" "confound" "confused" "consternation" "contend" "contract" "conversing" "convulsions" "cooled" "cordial" "covered" "cried" "crossways" "crowd" "cruel" "customs" "death" "deepest" "deliverances" "depend" "devils" "dexterously" "die" "die”" "disappointment" "discourse" "distinguished" "distressed" "does" "dog" "domestics" "doubts" "dreamed" "dropped" "drove" "dub" "ducks" "dug" "duly" "durst" "dust" "eagerness" "earthquake" "easily" "echoes" "ecstasy" "eggs" "elopement" "encouraging" "enjoyed" "enrolled" "ensnared" "enterprising" "everywhere" "examined" "exceeding" "excellent" "exclamation" "executor" "extinct" "eye" "fairly" "falling" "fashion" "feasted" "few" "fifteen" "filling" "flaming" "follow" "forecast" "fortifying" "free" "fright" "fruit" "fulfil" "gallons" "gathered" "generalissimo" "get" "gold" "grapnel" "grasping" "growling" "growth" "guilty" "gunner’s" "hacking" "hail" "hallooing" "hand—for" "hang" "harden" "harm" "hazardous" "head" "headache" "hearing" "heavy" "help" "helpless" "hinder" "hints" "hooks" "housed" "how" "howling" "hull" "humble" "hundred" "hypocrite”" "imagined" "importunities" "impression" "improbable" "improved" "improvement" "increase" "inexpressible" "infinite" "inhumanity—nay" "injurious" "innocence" "inspired" "instead" "insulted" "intending" "interests" "invincible" "islands" "journals" "kill" "kindly" "kittens" "knocked" "laboriousness" "labours" "latter" "leagues" "lending" "lively" "lives" "lockers" "lodging" "look" "lower" "man’s" "manor" "market" "marks" "marksman" "materials" "me—this" "measures" "meditated" "memory" "merriment" "millions" "miraculously" "miser" "miserably" "misshapen" "misspent" "monastery" "monster" "moon" "mount" "multiplied" "narrow" "nation”" "nauseous" "nay" "needs" "nor" "oars’" "obey" "obstinacy" "occasions" "off" "offended" "oftener" "only" "opening" "openness" "our" "oven" "overladen" "owe" "own" "painstaking" "pardon" "parted" "passenger" "passionate" "pay" "payment" "penned" "perfection" "perplexity" "pitch" "piteous" "pity" "placed" "plan" "planter" "played" "please" "plucking" "pocket" "policy" "poor" "poverty" "prayers" "prepare" "pressure" "prevent" "price" "principal" "principles" "prisoners" "probable" "probably" "proceeded" "projects" "prompting" "properties" "pumps" "purchased" "purpose" "purpose—to" "rage" "reasonable" "reckoning" "recommended" "recrossing" "red" "refreshed" "regardless" "registered" "regular" "relating" "relief" "relief—so" "relieved" "repair" "repass" "returning" "riches" "ridge" "righteous" "rightly" "rise" "rum" "rushes" "safe—that" "sagacious" "said" "sat" "scuttle" "seek" "sensibly" "serious" "seriousness" "servant" "set" "shapes" "sheer" "shells" "shifting" "shipwrecked" "shoot" "shoots" "shore" "should" "sign" "since" "sink" "size" "skins" "slavery" "sleeves" "small—that" "sold" "solver" "spatterdashes" "spending" "spent" "spice" "spread" "sputter" "squab" "stark" "starving" "station" "staved" "staves" "staying" "stepped" "stewing" "stones" "stood" "struggle" "struggling" "sufferings" "sufficient" "surf" "surgeon" "swift" "swore" "tackle" "talons" "tears" "tempters" "testify" "that" "them" "themselves" "there—that" "thirty" "thy" "tides" "tongue" "tortoise" "trade" "trader" "trading" "traps" "truncheon" "twelve" "twofold" "undermost" "uninhabited" "unnatural" "upon—as" "uses" "valleys" "vermin" "vicious" "visibly" "visit" "walk" "warrant" "wealthy" "weapon" "weekly" "weighty" "why" "wife" "willing" "wine" "wire" "without" "witness" "wretched" "written" "years’" "wretches" "tile" "vestiges" "wrought" "withstood" "yelped"
"capitulate" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"care" 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 7 0 2 0 0 0 1 2 0 1 0 0 6 0 0 6 0 0 0 1 0 0 0 0 1 0 0 0 0 9 0 0 0 0 0 0 1 1 2 1 0 0 0 0 1 0 1 0 10 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 2 1 1 2 0 0 3 1 1 0 0 0 1 0 1 2 0 0 1 2 0 0 1 1 0 0 0 0 2 3 1 0 0 2 0 0 1 0 1 1 1 0 1 0 0 1 2 0 1 1 1 0 1 1 0 3 3 0 0 1 0 0 1 0 0 0 1 2 0 9 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 10 0 0 1 7 0 0 1 0 0 16 0 0 0 6 0 2 0 2 0 1 4 2 1 1 0 0 0 0 2 1 0 0 1 0 0 2 0 0 0 0 1 1 1 1 0 4 1 0 5 2 0 0 0 1 0 1 1 1 1 1 1 0 2 0 0 0 0 1 0 0 1 0 0 0 0 4 0 11 0 1 0 3 9 0 2 10 1 0 11 0 0 0 7 0 0 0 0 1 2 1 0 0 1 0 0 0 2 0 1 0 0 0 2 0 6 1 0 1 1 0 1 1 0 2 1 1 0 2 0 1 1 0 4 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 4 0 1 0 9 2 0 0 1 1 0 3 11 0 0 0 0 1 1 0 11 17 1 3 1 1 1 1 0 0 1 0 0 0 3 0 1 0 1 1 0 2 0 1 0 0 0 0 3 0 0 0 5 1 0 3 0 0 0 3 0 1 21 20 2 0 1 0 0 0 1 1 1 0 0 0 2 0 0 0 0 1 1 1 0 0 0 0 2 0 1 0 0 0 1 1 5 0 0 12 1 0 1 2 1 0 0 0 1 0
"cask" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 3 0 0 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 4 3 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 5 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 1
"casks" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 4 0 0 2 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 4 0 0 3 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 2 0 0 0 0 0 0 3 0 0 0 0 0 1 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 1 0 0 0 0 1
"casting" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"castle" 1 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 3 0 3 0 0 0 0 0 0 3 0 0 4 1 0 6 0 0 1 1 1 0 0 0 0 0 1 1 1 11 0 1 1 0 0 0 1 2 1 0 1 0 0 0 0 0 3 1 3 0 0 0 0 1 0 3 4 0 0 0 1 2 0 0 0 1 2 0 0 0 1 0 0 0 1 1 0 3 2 1 0 1 0 1 0 0 0 0 0 0 1 3 1 0 1 0 2 4 0 1 1 0 1 1 0 0 2 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 1 1 0 0 0 1 0 1 3 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 2 1 1 0 0 0 6 2 0 0 0 0 1 3 0 1 0 0 0 0 2 1 10 0 1 2 4 0 0 0 0 0 12 0 0 1 4 0 0 0 2 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 7 0 0 4 0 0 0 0 0 0 3 0 0 10 0 3 0 0 2 1 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 0 1 1 0 2 3 0 8 0 0 0 2 11 0 1 9 0 0 7 0 0 0 14 0 0 1 1 1 0 0 0 0 0 2 0 2 2 0 1 0 0 1 0 0 6 0 0 0 0 1 1 0 1 6 3 1 1 1 0 0 1 0 5 0 0 0 0 0 0 0 2 0 0 0 1 2 0 1 0 0 0 0 0 0 0 1 2 0 0 0 10 3 1 1 1 0 0 2 11 1 0 0 0 0 6 0 13 17 2 2 1 1 0 0 1 1 0 0 0 1 1 0 1 1 0 1 0 2 0 0 1 2 0 1 9 0 0 0 0 0 0 0 1 0 0 2 0 0 19 18 3 0 2 0 1 0 0 0 0 0 1 0 3 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 10 0 2 0 0 4 0 1 0 0 0
"cattle" 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 4 1 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 4 0 0 3 0 0 2 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 4 4 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0
"caution" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 4 0 0 0 4 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 4 0 0 2 0 0 2 0 0 0 3 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 2 2 0 0 0 0 0 0 3 0 0 1 0 0 1 0 6 6 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 1 0 0 6 6 2 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 4 0 1 0 0 2 0 0 0 0 0
"cease" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"chamber" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"cheered" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 3 1 0 2 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 0 0 0 3 0 0 0 0 0 0 0 3 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
"cheese" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 3 0 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 3 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
