"" "accomplished" "active" "admirable" "adorable" "adventurous" "affectionate" "afraid" "agreeable" "alert" "alone" "angry" "annoyed" "anxious" "appealing" "appreciated" "appreciative" "argumentative" "ashamed" "attentive" "attractive" "awake" "awful" "awkward" "bad" "beautiful" "big" "bitter" "blind" "bold" "brave" "bright" "brilliant" "busy" "calm" "capable" "careful" "careless" "caring" "casual" "cautious" "certain" "charming" "cheerful" "chubby" "clean" "clumsy" "cold" "comfortable" "compassionate" "complaining" "complicated" "conceited" "confident" "confused" "considerate" "cool" "courageous" "crazy" "cruel" "curious" "dangerous" "decent" "delighted" "delightful" "demanding" "depressed" "desirable" "determined" "devoted" "difficult" "direct" "disappointed" "disrespectful" "distinguished" "disturbed" "dominant" "dumb" "eager" "elderly" "embarrassed" "embarrassing" "emotional" "employed" "encouraged" "encouraging" "energetic" "evil" "excellent" "exceptional" "excited" "exhausted" "expressive" "extraordinary" "fair" "faithful" "familiar" "famous" "fascinating" "fat" "feminine" "fine" "firm" "foolish" "forgetful" "fortunate" "forward" "friendly" "frightening" "furious" "generous" "gentle" "genuine" "giving" "glad" "good" "good-natured" "gorgeous" "graceful" "gracious" "grateful" "great" "greedy" "handsome" "happy" "hard" "harmless" "healthy" "helpful" "helpless" "honest" "hopeful" "hostile" "ignorant" "immature" "impatient" "important" "impressive" "independent" "inexperienced" "influential" "innocent" "intellectual" "intelligent" "interested" "interesting" "involved" "jealous" "kind" "laughing" "lazy" "liberal" "little" "lively" "lonely" "loud" "loving" "loyal" "lucky" "mature" "mean" "modest" "moody" "natural" "neat" "needy" "negative" "neglected" "nervous" "nice" "obnoxious" "observant" "offensive" "old" "old-fashioned" "open" "ordinary" "original" "outspoken" "overworked" "passionate" "pathetic" "patient" "peaceful" "persistent" "plain" "pleasant" "pleased" "polite" "poor" "popular" "powerful" "practical" "preoccupied" "pretty" "private" "professional" "prominent" "proper" "prosperous" "proud" "quiet" "reasonable" "reckless" "religious" "remarkable" "respectable" "respected" "responsible" "retarded" "rich" "ridiculous" "rough" "rude" "rushed" "sad" "sarcastic" "satisfied" "scared" "secure" "selfish" "sensible" "sensitive" "serious" "shallow" "short" "shy" "sincere" "skinny" "sleepy" "slender" "social" "stable" "straightforward" "strange" "strict" "strong" "superstitious" "surprised" "sweet" "tall" "terrible" "terrific" "thankful" "thin" "thinking" "thorough" "thoughtful" "tiny" "tired" "troubled" "trusted" "trusting" "trustworthy" "uncomfortable" "understanding" "unhappy" "unlucky" "unpopular" "unreasonable" "unusual" "useful" "valuable" "violent" "warm" "weak" "weird" "well" "well-known" "wise" "wonderful" "worthy" "young" "youthful" "sentimental" "suspicious" "unfair"
"accomplished" 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 2 0 2 0 0 0 0
"active" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 4 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 2 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 3 1 0 0 0
"admirable" 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 1 0 4 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 1 0 0 0 0
"adorable" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"adventurous" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0
"affectionate" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 3 0 0 0 1 0 3 0 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 4 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 3 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0
"afraid" 0 0 0 0 0 0 0 0 0 4 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 2 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 1 0 5 1 0 1 3 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 4 0 1 0 12 0 0 1 0 0 0 0 3 1 1 1 1 0 0 1 0 0 0 0 0 7 0 6 0 0 0 0 0 0 1 0 0 1 1 1 0 3 0 1 1 0 4 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 7 0 3 2 0 0 0 3 0 1 0 0 0 0 3 0 0 0 0 2 0 0 0 0 1 1 1 2 1 3 0 8 0 1 2 0 6 0 0 0 0
"agreeable" 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 2 0 0 0 1 1 1 0 1 0 0 0 0 0 4 0 0 0 0 0 3 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 6 0 1 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 3 0 3 0 0 0 0 0 0 0 0 0 2 2 0 0 2 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 2 0 0 2 0 2 0 1 0 0
"alert" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"alone" 2 0 0 0 0 0 4 1 0 0 7 0 3 0 0 0 0 0 1 0 1 3 0 6 3 0 2 2 1 1 8 1 2 4 2 3 2 1 1 1 6 0 1 0 2 0 4 0 2 0 0 0 0 1 0 3 0 0 5 4 3 0 0 0 0 0 0 3 2 4 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 2 1 3 2 0 1 0 0 0 3 1 1 2 2 7 1 0 1 2 4 1 3 0 25 0 1 0 2 1 19 0 1 8 8 0 2 1 1 2 0 0 4 0 1 2 1 0 0 1 5 0 0 1 0 0 1 9 3 0 0 25 1 1 5 2 1 0 0 6 1 2 5 2 0 0 1 0 0 0 1 0 21 1 6 0 1 1 0 1 1 2 1 0 7 3 2 1 16 2 1 1 0 8 2 0 0 1 2 0 11 0 1 1 5 2 0 0 1 3 1 3 0 3 3 0 0 1 1 1 1 0 3 1 7 0 1 0 0 1 0 1 0 6 1 8 0 4 4 0 1 0 4 0 2 1 0 0 2 3 0 1 0 0 1 4 0 0 0 1 1 1 1 1 2 0 19 0 0 3 1 11 0 1 0 0
