"" "accomplished" "active" "affectionate" "afraid" "agreeable" "alone" "ambitious" "amusing" "angry" "anxious" "artificial" "ashamed" "attentive" "attractive" "awake" "awful" "awkward" "bad" "beautiful" "blind" "bold" "brave" "bright" "brilliant" "busy" "calm" "capable" "careful" "careless" "caring" "cautious" "certain" "charming" "cheap" "cheerful" "clever" "clumsy" "cold" "comfortable" "compassionate" "compatible" "conceited" "concerned" "confident" "confused" "consistent" "cool" "courteous" "critical" "cruel" "curious" "dangerous" "daring" "decent" "delighted" "delightful" "dependent" "desirable" "determined" "devoted" "difficult" "direct" "disabled" "disappointed" "disgusting" "disrespectful" "distinguished" "disturbed" "eager" "educated" "embarrassed" "employed" "encouraged" "encouraging" "entertaining" "evil" "excellent" "excited" "experienced" "expressive" "extraordinary" "fair" "faithful" "familiar" "famous" "fat" "fine" "firm" "foolish" "fortunate" "forward" "friendly" "generous" "gentle" "gifted" "giving" "glad" "good" "good-looking" "good-natured" "graceful" "grateful" "great" "handsome" "happy" "hard" "healthy" "helpless" "honest" "ignorant" "impatient" "important" "indecisive" "independent" "intelligent" "interested" "interesting" "involved" "irrational" "irritable" "jealous" "kind" "kind-hearted" "laughing" "liberal" "little" "lively" "lovely" "loving" "lucky" "mature" "mean" "modest" "natural" "neat" "negative" "neglected" "nervous" "nice" "noisy" "observant" "offensive" "old" "old-fashioned" "open" "original" "pathetic" "patient" "plain" "playful" "pleasant" "pleased" "pleasing" "polite" "poor" "popular" "positive" "powerful" "pretty" "private" "prompt" "proper" "prosperous" "proud" "quiet" "reasonable" "religious" "remarkable" "respectable" "respected" "responsible" "rich" "romantic" "rough" "rushed" "sad" "satisfied" "secure" "selfish" "sensible" "sentimental" "serious" "short" "shy" "sincere" "slender" "social" "spoiled" "spontaneous" "strange" "strict" "strong" "stupid" "successful" "surprised" "suspicious" "sweet" "sympathetic" "tall" "thankful" "thin" "thinking" "thorough" "thoughtful" "thoughtless" "tired" "trusted" "trusting" "uncomfortable" "understanding" "unemployed" "unhappy" "unlucky" "unreasonable" "unusual" "upset" "useful" "valuable" "violent" "warm" "weak" "wealthy" "well" "wise" "wonderful" "worthy" "young" "smart" "well-known" "youthful"
"accomplished" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"active" 0 0 0 1 2 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 2 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 2 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 3 3 1 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 5 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 2 1 0 1 0 0 0 3 0 0 2 0 0 1 3 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 1 0 0 2 0 0 0
"affectionate" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 1 1 3 0 1 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 3 0 0 0
"afraid" 0 1 0 0 5 4 0 1 0 1 1 1 1 0 0 0 1 4 0 1 0 0 1 0 0 0 0 1 1 0 1 4 1 0 1 3 0 0 2 0 0 0 2 0 1 0 0 1 0 1 0 0 1 1 3 0 0 3 2 0 1 1 0 0 0 0 1 0 2 0 0 0 1 0 1 1 4 0 0 0 1 3 0 1 0 1 4 0 0 0 2 1 0 1 0 2 5 9 0 0 1 1 7 2 4 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 2 1 10 1 1 0 2 0 3 0 2 1 0 0 1 1 0 0 2 4 0 5 0 0 0 2 0 2 3 0 0 3 1 0 0 3 0 0 2 0 0 1 1 0 0 2 0 1 1 0 0 1 0 3 2 0 2 0 2 5 0 1 1 0 0 2 1 1 1 0 0 3 0 1 0 0 0 0 4 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 0 2 1 8 0 0 1 4 0 0 0
"agreeable" 0 2 1 5 0 7 1 2 1 4 1 1 2 0 0 1 3 9 2 1 1 1 1 0 0 1 0 3 2 0 2 5 2 0 1 2 0 5 2 1 0 0 0 0 0 1 1 0 1 2 1 4 2 2 6 3 0 5 8 0 1 2 1 3 0 0 1 1 4 0 1 2 2 1 0 4 5 3 0 0 5 3 0 0 1 1 5 0 1 0 4 2 1 3 1 4 8 23 2 0 0 0 22 7 17 3 0 1 0 1 2 1 0 1 0 0 4 2 0 0 1 5 0 4 1 27 3 2 0 0 1 7 1 6 1 0 1 1 3 1 2 1 10 0 10 0 0 1 2 0 4 9 3 2 11 0 0 1 6 0 0 7 0 0 2 2 0 0 0 1 0 3 0 0 1 2 8 3 1 8 1 3 15 1 0 0 1 0 1 0 0 7 0 0 5 1 1 1 2 1 2 9 0 1 0 0 1 0 1 9 0 3 1 0 1 0 4 1 2 7 1 0 17 1 2 2 14 1 0 0
"alone" 0 0 0 4 7 0 0 1 1 3 0 2 1 1 0 0 0 5 2 0 0 0 1 1 2 0 2 1 0 0 1 2 1 0 1 1 0 3 3 0 0 0 1 1 1 1 1 0 0 0 2 2 0 1 3 1 1 1 4 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 2 3 5 0 0 0 3 2 1 0 0 1 7 0 0 1 5 1 0 3 0 5 6 16 1 0 1 1 15 3 10 1 1 1 0 0 0 1 0 0 2 1 2 2 0 0 0 3 1 2 0 16 0 2 1 2 1 4 0 5 1 1 1 2 2 1 2 0 6 0 3 0 0 2 1 0 1 4 0 1 7 1 0 1 7 0 0 1 0 1 1 0 1 1 1 2 0 1 0 0 1 0 1 1 1 3 0 2 5 1 1 1 1 0 2 1 0 7 0 0 1 2 1 0 0 1 1 3 0 0 0 0 0 0 1 5 1 3 0 0 1 1 2 2 1 3 2 0 11 0 0 0 5 0 0 0
"ambitious" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"amusing" 0 0 1 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 2 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 2 0 0 0
"angry" 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 1 0 0 2 0 3 0 0 0 0 3 1 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 4 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 3 0 0 2 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0
"anxious" 1 2 0 1 4 3 0 0 0 0 0 1 2 0 0 1 1 3 2 0 0 0 2 1 0 0 3 0 0 0 1 0 2 0 1 2 0 1 2 0 1 0 1 1 2 1 0 1 0 0 0 3 1 1 3 1 1 3 4 0 2 0 0 3 0 0 3 0 2 0 3 1 0 2 0 2 1 2 0 1 1 1 0 0 0 1 6 0 0 0 4 3 1 4 0 1 2 12 1 0 0 0 10 2 8 1 0 0 1 0 2 0 0 1 0 0 4 2 1 0 2 3 0 0 0 14 2 0 0 1 0 2 1 2 0 1 0 0 3 0 1 0 3 0 2 0 0 0 2 0 1 2 0 1 3 0 0 1 4 1 0 2 0 0 0 3 0 1 0 1 0 1 0 0 0 0 2 2 2 3 0 2 9 0 1 0 1 0 1 1 1 4 0 1 0 1 2 1 1 0 0 4 0 0 0 0 0 0 0 4 0 1 1 0 0 0 1 1 0 1 1 0 10 1 0 1 6 0 0 0
