"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","active",6,1,1,1,1,1,1
"2","affectionate",6,1,1,1,1,1,1
"3","busy",6,1,1,1,1,1,1
"4","calm",6,1,1,1,1,1,1
"5","careless",6,1,1,1,1,1,1
"6","certain",6,1,1,1,1,1,1
"7","cheerful",6,1,1,1,1,1,1
"8","cold",6,1,1,1,1,1,1
"9","confident",6,1,1,1,1,1,1
"10","confidential",6,1,1,1,1,1,1
"11","constant",6,1,1,1,1,1,1
"12","contrary",6,1,1,1,1,1,1
"13","curious",6,1,1,1,1,1,1
"14","direct",6,1,1,1,1,1,1
"15","domestic",6,1,1,1,1,1,1
"16","earnest",6,1,1,1,1,1,1
"17","easy",6,1,1,1,1,1,1
"18","exact",6,1,1,1,1,1,1
"19","faithful",6,1,1,1,1,1,1
"20","familiar",6,1,1,1,1,1,1
"21","fast",6,1,1,1,1,1,1
"22","fearful",6,1,1,1,1,1,1
"23","free",6,1,1,1,1,1,1
"24","fresh",6,1,1,1,1,1,1
"25","friendly",6,1,1,1,1,1,1
"26","gay",6,1,1,1,1,1,1
"27","general",6,1,1,1,1,1,1
"28","generous",6,1,1,1,1,1,1
"29","gentle",6,1,1,1,1,1,1
"30","gloomy",6,1,1,1,1,1,1
"31","good-natured",6,1,1,1,1,1,1
"32","grateful",6,1,1,1,1,1,1
"33","grave",6,1,1,1,1,1,1
"34","handsome",6,1,1,1,1,1,1
"35","hearty",6,1,1,1,1,1,1
"36","heavy",6,1,1,1,1,1,1
"37","honest",6,1,1,1,1,1,1
"38","hopeless",6,1,1,1,1,1,1
"39","humble",6,1,1,1,1,1,1
"40","impatient",6,1,1,1,1,1,1
"41","independent",6,1,1,1,1,1,1
"42","indifferent",6,1,1,1,1,1,1
"43","intimate",6,1,1,1,1,1,1
"44","jealous",6,1,1,1,1,1,1
"45","kind",6,1,1,1,1,1,1
"46","lively",6,1,1,1,1,1,1
"47","modest",6,1,1,1,1,1,1
"48","natural",6,1,1,1,1,1,1
"49","neat",6,1,1,1,1,1,1
"50","open",6,1,1,1,1,1,1
"51","particular",6,1,1,1,1,1,1
"52","playful",6,1,1,1,1,1,1
"53","pleasant",6,1,1,1,1,1,1
"54","positive",6,1,1,1,1,1,1
"55","proud",6,1,1,1,1,1,1
"56","quick",6,1,1,1,1,1,1
"57","quiet",6,1,1,1,1,1,1
"58","rapid",6,1,1,1,1,1,1
"59","sad",6,1,1,1,1,1,1
"60","sanguine",6,1,1,1,1,1,1
"61","scrupulous",6,1,1,1,1,1,1
"62","second",6,1,1,1,1,1,1
"63","selfish",6,1,1,1,1,1,1
"64","sensible",6,1,1,1,1,1,1
"65","serious",6,1,1,1,1,1,1
"66","severe",6,1,1,1,1,1,1
"67","silent",6,1,1,1,1,1,1
"68","sincere",6,1,1,1,1,1,1
"69","speedy",6,1,1,1,1,1,1
"70","steady",6,1,1,1,1,1,1
"71","strong",6,1,1,1,1,1,1
"72","sudden",6,1,1,1,1,1,1
"73","sufficient",6,1,1,1,1,1,1
"74","sure",6,1,1,1,1,1,1
"75","sweet",6,1,1,1,1,1,1
"76","thankful",6,1,1,1,1,1,1
"77","thorough",6,1,1,1,1,1,1
"78","true",6,1,1,1,1,1,1
"79","uncertain",6,1,1,1,1,1,1
"80","unhappy",6,1,1,1,1,1,1
"81","urgent",6,1,1,1,1,1,1
"82","vain",6,1,1,1,1,1,1
"83","violent",6,1,1,1,1,1,1
"84","willing",6,1,1,1,1,1,1
"85","acceptable",5,1,1,0,1,1,1
"86","acute",5,1,1,1,0,1,1
"87","animated",5,1,1,0,1,1,1
"88","awkward",5,1,1,0,1,1,1
"89","bitter",5,1,1,1,0,1,1
"90","careful",5,1,1,0,1,1,1
"91","christian",5,1,0,1,1,1,1
"92","close",5,1,1,1,0,1,1
"93","communicative",5,1,1,1,0,1,1
"94","consistent",5,0,1,1,1,1,1
"95","cordial",5,1,1,1,1,1,0
"96","critical",5,1,1,1,1,0,1
"97","decisive",5,1,1,0,1,1,1
"98","delicate",5,1,0,1,1,1,1
"99","dependent",5,1,1,0,1,1,1
"100","dignified",5,1,1,1,0,1,1
"101","formal",5,1,1,0,1,1,1
"102","gentlemanlike",5,1,1,1,1,0,1
"103","good-humoured",5,1,1,1,1,1,0
"104","gracious",5,1,1,1,0,1,1
"105","hasty",5,1,1,0,1,1,1
"106","helpless",5,1,1,1,1,0,1
"107","impartial",5,1,1,1,0,1,1
"108","indulgent",5,1,1,1,0,1,1
"109","joyful",5,1,1,1,0,1,1
"110","loud",5,1,1,1,0,1,1
"111","melancholy",5,1,1,0,1,1,1
"112","moderate",5,1,1,1,0,1,1
"113","negative",5,1,1,0,1,1,1
"114","nervous",5,1,1,0,1,1,1
"115","noisy",5,1,1,0,1,1,1
"116","officious",5,1,1,0,1,1,1
"117","original",5,1,1,1,1,1,0
"118","partial",5,1,1,1,0,1,1
"119","prudent",5,1,1,0,1,1,1
"120","resolute",5,0,1,1,1,1,1
"121","restless",5,0,1,1,1,1,1
"122","rude",5,1,1,1,0,1,1
"123","simple",5,1,1,1,1,0,1
"124","slow",5,1,1,0,1,1,1
"125","sly",5,1,1,1,0,1,1
"126","solicitous",5,1,1,1,1,0,1
"127","strict",5,1,1,1,1,0,1
"128","thoughtful",5,1,1,0,1,1,1
"129","ungenerous",5,1,1,1,0,1,1
"130","ungracious",5,1,1,0,1,1,1
"131","wise",5,1,0,1,1,1,1
"132","worldly",5,0,1,1,1,1,1
"133","benevolent",4,1,1,0,1,1,0
"134","bold",4,0,1,1,1,0,1
"135","candid",4,0,1,1,0,1,1
"136","compassionate",4,1,0,0,1,1,1
"137","conceited",4,1,0,1,1,1,0
"138","concise",4,1,1,0,0,1,1
"139","conscientious",4,0,1,1,0,1,1
"140","cunning",4,0,1,0,1,1,1
"141","disrespectful",4,0,1,1,1,1,0
"142","dissatisfied",4,0,1,1,0,1,1
"143","expressive",4,1,1,0,0,1,1
"144","fearless",4,1,1,0,1,1,0
"145","gallant",4,1,0,1,1,1,0
"146","genteel",4,1,1,0,0,1,1
"147","graceful",4,1,1,0,1,0,1
"148","impudent",4,1,1,1,0,1,0
"149","invariable",4,1,1,0,0,1,1
"150","judicious",4,1,1,1,0,0,1
"151","languid",4,1,1,1,0,0,1
"152","musical",4,1,1,0,0,1,1
"153","nonsensical",4,1,0,0,1,1,1
"154","obstinate",4,0,1,1,0,1,1
"155","perverse",4,1,1,1,0,1,0
"156","polite",4,0,0,1,1,1,1
"157","punctual",4,1,1,0,0,1,1
"158","respectful",4,1,0,1,0,1,1
"159","romantic",4,1,1,1,0,0,1
"160","sober",4,1,1,1,0,0,1
"161","social",4,1,1,0,1,1,0
"162","steep",4,1,0,1,1,0,1
"163","suspicious",4,1,1,0,1,0,1
"164","tender",4,1,1,0,1,1,0
"165","thoughtless",4,1,1,1,0,1,0
"166","tranquil",4,1,1,0,0,1,1
"167","unfeeling",4,1,1,0,1,1,0
"168","unguarded",4,0,0,1,1,1,1
"169","unkind",4,0,1,1,1,0,1
"170","unreserved",4,0,1,1,0,1,1
"171","unsuspicious",4,1,1,1,1,0,0
"172","weak",4,1,1,0,1,1,0
"173","affable",3,1,0,0,0,1,1
"174","charitable",3,1,1,0,1,0,0
"175","daring",3,1,1,0,0,1,0
"176","demure",3,1,1,0,0,0,1
"177","discerning",3,1,1,0,0,0,1
"178","eloquent",3,0,1,0,1,1,0
"179","fanciful",3,1,1,0,0,0,1
"180","fervent",3,0,1,0,1,0,1
"181","firm",3,1,0,0,0,1,1
"182","frank",3,0,1,0,1,0,1
"183","frivolous",3,0,0,1,0,1,1
"184","good-tempered",3,1,1,0,0,1,0
"185","headstrong",3,0,0,0,1,1,1
"186","indefinite",3,1,1,0,0,1,0
"187","insincere",3,1,0,0,0,1,1
"188","insolent",3,1,0,0,0,1,1
"189","intellectual",3,1,1,1,0,0,0
"190","irresolute",3,1,0,0,1,0,1
"191","irritable",3,0,0,1,1,1,0
"192","joyous",3,1,1,0,1,0,0
"193","lazy",3,1,1,1,0,0,0
