"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","active",6,1,1,1,1,1,1
"2","affectionate",6,1,1,1,1,1,1
"3","afraid",6,1,1,1,1,1,1
"4","agreeable",6,1,1,1,1,1,1
"5","alone",6,1,1,1,1,1,1
"6","amusing",6,1,1,1,1,1,1
"7","angry",6,1,1,1,1,1,1
"8","anxious",6,1,1,1,1,1,1
"9","ashamed",6,1,1,1,1,1,1
"10","attentive",6,1,1,1,1,1,1
"11","awake",6,1,1,1,1,1,1
"12","awkward",6,1,1,1,1,1,1
"13","bad",6,1,1,1,1,1,1
"14","beautiful",6,1,1,1,1,1,1
"15","bright",6,1,1,1,1,1,1
"16","busy",6,1,1,1,1,1,1
"17","calm",6,1,1,1,1,1,1
"18","capable",6,1,1,1,1,1,1
"19","careless",6,1,1,1,1,1,1
"20","certain",6,1,1,1,1,1,1
"21","charming",6,1,1,1,1,1,1
"22","cheap",6,1,1,1,1,1,1
"23","cheerful",6,1,1,1,1,1,1
"24","clever",6,1,1,1,1,1,1
"25","cold",6,1,1,1,1,1,1
"26","comfortable",6,1,1,1,1,1,1
"27","concerned",6,1,1,1,1,1,1
"28","confident",6,1,1,1,1,1,1
"29","consistent",6,1,1,1,1,1,1
"30","cool",6,1,1,1,1,1,1
"31","critical",6,1,1,1,1,1,1
"32","cruel",6,1,1,1,1,1,1
"33","curious",6,1,1,1,1,1,1
"34","dangerous",6,1,1,1,1,1,1
"35","decent",6,1,1,1,1,1,1
"36","delighted",6,1,1,1,1,1,1
"37","delightful",6,1,1,1,1,1,1
"38","desirable",6,1,1,1,1,1,1
"39","determined",6,1,1,1,1,1,1
"40","difficult",6,1,1,1,1,1,1
"41","direct",6,1,1,1,1,1,1
"42","disappointed",6,1,1,1,1,1,1
"43","disgusting",6,1,1,1,1,1,1
"44","distinguished",6,1,1,1,1,1,1
"45","eager",6,1,1,1,1,1,1
"46","embarrassed",6,1,1,1,1,1,1
"47","excellent",6,1,1,1,1,1,1
"48","extraordinary",6,1,1,1,1,1,1
"49","fair",6,1,1,1,1,1,1
"50","faithful",6,1,1,1,1,1,1
"51","familiar",6,1,1,1,1,1,1
"52","fine",6,1,1,1,1,1,1
"53","foolish",6,1,1,1,1,1,1
"54","fortunate",6,1,1,1,1,1,1
"55","friendly",6,1,1,1,1,1,1
"56","generous",6,1,1,1,1,1,1
"57","gentle",6,1,1,1,1,1,1
"58","glad",6,1,1,1,1,1,1
"59","good",6,1,1,1,1,1,1
"60","graceful",6,1,1,1,1,1,1
"61","grateful",6,1,1,1,1,1,1
"62","great",6,1,1,1,1,1,1
"63","handsome",6,1,1,1,1,1,1
"64","happy",6,1,1,1,1,1,1
"65","hard",6,1,1,1,1,1,1
"66","honest",6,1,1,1,1,1,1
"67","ignorant",6,1,1,1,1,1,1
"68","impatient",6,1,1,1,1,1,1
"69","important",6,1,1,1,1,1,1
"70","independent",6,1,1,1,1,1,1
"71","intelligent",6,1,1,1,1,1,1
"72","interested",6,1,1,1,1,1,1
"73","interesting",6,1,1,1,1,1,1
"74","jealous",6,1,1,1,1,1,1
"75","kind",6,1,1,1,1,1,1
"76","liberal",6,1,1,1,1,1,1
"77","little",6,1,1,1,1,1,1
"78","lively",6,1,1,1,1,1,1
"79","lovely",6,1,1,1,1,1,1
"80","lucky",6,1,1,1,1,1,1
"81","modest",6,1,1,1,1,1,1
"82","natural",6,1,1,1,1,1,1
"83","neat",6,1,1,1,1,1,1
"84","nice",6,1,1,1,1,1,1
"85","noisy",6,1,1,1,1,1,1
"86","old",6,1,1,1,1,1,1
"87","open",6,1,1,1,1,1,1
"88","original",6,1,1,1,1,1,1
"89","plain",6,1,1,1,1,1,1
"90","playful",6,1,1,1,1,1,1
"91","pleasant",6,1,1,1,1,1,1
"92","pleased",6,1,1,1,1,1,1
"93","pleasing",6,1,1,1,1,1,1
"94","polite",6,1,1,1,1,1,1
"95","poor",6,1,1,1,1,1,1
"96","positive",6,1,1,1,1,1,1
"97","pretty",6,1,1,1,1,1,1
"98","private",6,1,1,1,1,1,1
"99","proper",6,1,1,1,1,1,1
"100","proud",6,1,1,1,1,1,1
"101","quiet",6,1,1,1,1,1,1
"102","reasonable",6,1,1,1,1,1,1
"103","remarkable",6,1,1,1,1,1,1
"104","respectable",6,1,1,1,1,1,1
"105","rich",6,1,1,1,1,1,1
"106","romantic",6,1,1,1,1,1,1
"107","sad",6,1,1,1,1,1,1
"108","satisfied",6,1,1,1,1,1,1
"109","secure",6,1,1,1,1,1,1
"110","selfish",6,1,1,1,1,1,1
"111","sensible",6,1,1,1,1,1,1
"112","serious",6,1,1,1,1,1,1
"113","short",6,1,1,1,1,1,1
"114","sincere",6,1,1,1,1,1,1
"115","strange",6,1,1,1,1,1,1
"116","strong",6,1,1,1,1,1,1
"117","stupid",6,1,1,1,1,1,1
"118","successful",6,1,1,1,1,1,1
"119","sweet",6,1,1,1,1,1,1
"120","tall",6,1,1,1,1,1,1
"121","thankful",6,1,1,1,1,1,1
"122","thin",6,1,1,1,1,1,1
"123","thorough",6,1,1,1,1,1,1
"124","thoughtless",6,1,1,1,1,1,1
"125","tired",6,1,1,1,1,1,1
"126","uncomfortable",6,1,1,1,1,1,1
"127","unhappy",6,1,1,1,1,1,1
"128","unreasonable",6,1,1,1,1,1,1
"129","unusual",6,1,1,1,1,1,1
"130","useful",6,1,1,1,1,1,1
"131","valuable",6,1,1,1,1,1,1
"132","violent",6,1,1,1,1,1,1
"133","warm",6,1,1,1,1,1,1
"134","well",6,1,1,1,1,1,1
"135","wise",6,1,1,1,1,1,1
"136","wonderful",6,1,1,1,1,1,1
"137","worthy",6,1,1,1,1,1,1
"138","young",6,1,1,1,1,1,1
"139","accomplished",5,1,1,0,1,1,1
"140","amazing",5,1,1,1,0,1,1
"141","attractive",5,1,1,1,1,0,1
"142","awful",5,0,1,1,1,1,1
"143","bitter",5,1,1,1,0,1,1
"144","blind",5,1,1,0,1,1,1
"145","bold",5,0,1,1,1,1,1
"146","brilliant",5,1,1,1,1,0,1
"147","careful",5,1,1,0,1,1,1
"148","cautious",5,1,1,0,1,1,1
"149","compassionate",5,1,1,0,1,1,1
"150","confused",5,1,1,0,1,1,1
"151","dependent",5,1,1,0,1,1,1
"152","encouraging",5,1,1,0,1,1,1
"153","evil",5,1,1,0,1,1,1
"154","expressive",5,1,1,0,1,1,1
"155","famous",5,1,1,1,1,0,1
"156","firm",5,1,0,1,1,1,1
"157","genuine",5,1,1,1,0,1,1
"158","gracious",5,1,1,1,0,1,1
"159","helpless",5,1,1,1,1,0,1
"160","innocent",5,1,1,1,0,1,1
"161","irritable",5,1,0,1,1,1,1
"162","joyful",5,1,1,1,0,1,1
"163","negative",5,1,1,0,1,1,1
"164","nervous",5,1,1,0,1,1,1
"165","ordinary",5,1,1,1,0,1,1
"166","powerful",5,1,1,0,1,1,1
"167","prosperous",5,1,1,0,1,1,1
"168","punctual",5,1,1,1,0,1,1
"169","respectful",5,1,1,1,0,1,1
"170","ridiculous",5,1,1,1,0,1,1
"171","rude",5,1,1,1,0,1,1
"172","shy",5,0,1,1,1,1,1
"173","smart",5,0,1,1,1,1,1
"174","social",5,1,1,1,1,1,0
"175","stable",5,1,1,1,1,0,1
"176","strict",5,1,1,1,1,0,1
"177","surprised",5,0,1,1,1,1,1
"178","suspicious",5,1,1,0,1,1,1
"179","thoughtful",5,1,1,0,1,1,1
"180","unlucky",5,1,1,0,1,1,1
"181","weak",5,1,1,0,1,1,1
"182","admirable",4,1,1,0,0,1,1
"183","artificial",4,0,1,0,1,1,1
"184","compatible",4,1,1,0,1,1,0
"185","conscientious",4,0,1,1,0,1,1
"186","devoted",4,1,1,0,1,0,1
"187","disrespectful",4,0,1,1,1,1,0
"188","entertaining",4,1,1,1,1,0,0
"189","excited",4,1,1,0,0,1,1
"190","exciting",4,1,1,0,0,1,1
"191","healthy",4,1,0,0,1,1,1
"192","irrational",4,1,1,0,1,0,1
"193","loud",4,1,1,1,0,0,1
"194","popular",4,1,1,0,1,1,0
