"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","abrupt",2,1,0,0,0,1,0
"2","absentmi",0,0,0,0,0,0,0
"3","abstinen",0,0,0,0,0,0,0
"4","abstract",0,0,0,0,0,0,0
"5","abusive",1,0,0,0,0,1,0
"6","acceptan",0,0,0,0,0,0,0
"7","accessib",0,0,0,0,0,0,0
"8","accommod",0,0,0,0,0,0,0
"9","accompli",0,0,0,0,0,0,0
"10","accurate",2,0,1,0,0,1,0
"11","acid",0,0,0,0,0,0,0
"12","acquiesc",0,0,0,0,0,0,0
"13","acquisit",0,0,0,0,0,0,0
"14","active",6,1,1,1,1,1,1
"15","adaptabl",0,0,0,0,0,0,0
"16","adaptive",0,0,0,0,0,0,0
"17","adjustab",0,0,0,0,0,0,0
"18","adultero",0,0,0,0,0,0,0
"19","adventur",0,0,0,0,0,0,0
"20","affable",2,0,0,0,0,1,1
"21","affected",2,0,0,1,1,0,0
"22","affectio",0,0,0,0,0,0,0
"23","affirmat",0,0,0,0,0,0,0
"24","aggressi",0,0,0,0,0,0,0
"25","agitable",0,0,0,0,0,0,0
"26","agitativ",0,0,0,0,0,0,0
"27","agreeabl",0,0,0,0,0,0,0
"28","aimful",0,0,0,0,0,0,0
"29","aimless",0,0,0,0,0,0,0
"30","alarmabl",0,0,0,0,0,0,0
"31","alert",1,1,0,0,0,0,0
"32","aloof",1,0,0,0,0,1,0
"33","altruist",0,0,0,0,0,0,0
"34","ambitiou",0,0,0,0,0,0,0
"35","amiable",6,1,1,1,1,1,1
"36","amicable",0,0,0,0,0,0,0
"37","amorous",0,0,0,0,0,0,0
"38","analytic",0,0,0,0,0,0,0
"39","angelic",1,0,0,0,0,1,0
"40","animated",5,1,1,0,1,1,1
"41","antagoni",0,0,0,0,0,0,0
"42","anticipa",0,0,0,0,0,0,0
"43","antisoci",0,0,0,0,0,0,0
"44","anxious",6,1,1,1,1,1,1
"45","apatheti",0,0,0,0,0,0,0
"46","apprecia",0,0,0,0,0,0,0
"47","approach",0,0,0,0,0,0,0
"48","arbitrar",0,0,0,0,0,0,0
"49","arbitrat",0,0,0,0,0,0,0
"50","argument",0,0,0,0,0,0,0
"51","aristocr",0,0,0,0,0,0,0
"52","arrogant",0,0,0,0,0,0,0
"53","articula",0,0,0,0,0,0,0
"54","artistic",0,0,0,0,0,0,0
"55","ascendan",0,0,0,0,0,0,0
"56","asocial",0,0,0,0,0,0,0
"57","assertiv",0,0,0,0,0,0,0
"58","assured",0,0,0,0,0,0,0
"59","astute",0,0,0,0,0,0,0
"60","audaciou",0,0,0,0,0,0,0
"61","austere",0,0,0,0,0,0,0
"62","authorit",0,0,0,0,0,0,0
"63","autocrat",0,0,0,0,0,0,0
"64","autonomo",0,0,0,0,0,0,0
"65","aweless",0,0,0,0,0,0,0
"66","awkward",6,1,1,1,1,1,1
"67","balky",0,0,0,0,0,0,0
"68","bashful",2,0,0,0,0,1,1
"69","belliger",0,0,0,0,0,0,0
"70","bendable",0,0,0,0,0,0,0
"71","benefice",0,0,0,0,0,0,0
"72","benevole",0,0,0,0,0,0,0
"73","biased",0,0,0,0,0,0,0
"74","bigheade",0,0,0,0,0,0,0
"75","bigheart",0,0,0,0,0,0,0
"76","bigmouth",0,0,0,0,0,0,0
"77","bigoted",0,0,0,0,0,0,0
"78","bitter",5,1,1,1,0,1,1
"79","bland",0,0,0,0,0,0,0
