"" "agatha::#-understand" "agatha::animated" "agatha::conversation" "agatha::gentle" "agatha::musical" "agatha::opportunity" "agatha::question" "agatha::quickly" "albertus_magnus::imagination" "angelica::frank-hearted" "ariosto::frank-hearted" "beaufort::deep" "clerval::adventurous" "clerval::cheerful" "clerval::companion" "clerval::feminine" "cousin::constant" "cousin::kind" "de_lacey::opportunity" "de_lacey::quickly" "elizabeth_lavenza::companion" "elizabeth::#-live" "elizabeth::affection" "elizabeth::approached" "elizabeth::calm" "elizabeth::calmed" "elizabeth::certain" "elizabeth::cheerfulness" "elizabeth::companion" "elizabeth::constant" "elizabeth::deep" "elizabeth::educated" "elizabeth::firm" "elizabeth::firmness" "elizabeth::forward" "elizabeth::gentleness" "elizabeth::kind" "elizabeth::melancholy" "elizabeth::passionate" "elizabeth::persuasions" "elizabeth::resource" "elizabeth::rough" "ernest::calmed" "ernest::cheerfully" "ernest::vainly" "felix::angelic" "felix::animated" "felix::capable" "felix::complexion" "felix::conversation" "felix::curiously" "felix::earnest" "felix::expression" "felix::forward" "felix::instructed" "felix::learned" "felix::lively" "felix::opportunity" "felix::quickly" "felix::simplest" "frankenstein::affection" "frankenstein::bitter" "frankenstein::bitterness" "god::#-live" "henry::constant" "henry::contemplate" "henry::disorder" "henry::imagination" "henry::kind" "isaac_newton::natural" "isaac_newton::practical" "john_melbourne::approaching" "justine_moritz::amiable" "justine::affection" "justine::approach" "justine::assured" "justine::bitter" "justine::inexhaustible" "justine::instruction" "justine::just" "justine::natural" "justine::pleasures" "justine::prophetic" "justine::source" "justine::undisturbed" "justine::vain" "kirwin::approaching" "lyons::opportunity" "m._krempe::cultivated" "m._krempe::deeply" "m._krempe::literary" "m._waldman::benevolence" "mont_blanc::exactly" "muhammad::independence" "muhammad::instructed" "r._walton::affectionate" "robert_walton::affectionate" "safie::earnest" "safie::generous" "safie::instructed" "safie::opportunity" "uri::gloomy" "walton::affections" "william::bitter" "william::inexhaustible" "william::instruction" "william::natural" "william::pleasures" "william::prophetic" "agatha::understood" "felix::gentle" "felix::musical" "safie::quickly" "felix::question" "cornelius_agrippa::imagination" "justine::frank-hearted" "beaufort::reflection" "clerval::gallant" "clerval::unsocial" "clerval::pleasure" "elizabeth::feminine" "elizabeth_lavenza::pleasures" "justine::#-live" "elizabeth::warmest" "william::approached" "elizabeth::kindly" "ernest::cheerfulness" "elizabeth::placid" "ernest::deep" "elizabeth::lived" "justine::firmness" "elizabeth::sullen" "elizabeth::reflection" "elizabeth::reverential" "elizabeth::vain" "elizabeth::violently" "ernest::deeply" "william::vainly" "felix::pleasure" "safie::conversation" "safie::simplest" "felix::melancholy" "felix::violently" "felix::warmed" "volney::instructed" "felix::treacherous" "safie::learned" "safie::lively" "mont_cenis::opportunity" "frankenstein::justice" "frankenstein::indulgence" "henry::bitterness" "god::cruel" "henry::progress?" "henry::pertinacity" "henry::live" "isaac_newton::philosophy" "isaac_newton::untaught" "mansfield::approaching" "justine_moritz::capable" "justine::anxious" "justine::cold" "justine::confidence" "justine::cheerfulness" "william::undisturbed" "william::source" "justine::tenderly" "william::vain" "kirwin::forward" "m._krempe::information" "m._krempe::uncouth" "m._krempe::natural" "m._waldman::expressive" "montanvert::exactly" "muhammad::intellect" "saville::affectionate" "safie::tyrannical" "victor::gloomy" "walton::kind"
"agatha::#-understand" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::animated" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::conversation" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::gentle" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::musical" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::opportunity" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::question" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"agatha::quickly" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"albertus_magnus::imagination" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"angelica::frank-hearted" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
