"afraid" "best" "calm" "capable" "charitable" "cheerful" "comfortable" "different" "extraordinary" "fair" "faithful" "free" "greatest" "happy" "honest" "pleasant" "quiet" "religious" "rich" "safe" "secure" "sincere" "strong" "surprising" "wise" "worth"
"afraid" 0 1 1 0 0 1 0 0 0 0 0 1 2 0 1 2 1 1 0 5 1 0 1 2 1 1
"best" 1 0 1 1 2 0 0 3 2 2 5 1 3 5 4 2 4 2 3 6 1 3 4 2 2 4
"calm" 1 1 0 1 1 1 0 0 1 1 1 1 1 2 0 2 3 1 0 6 1 0 7 3 2 0
"capable" 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 2 0 1 1 2 0 1
"charitable" 0 2 1 0 0 0 0 0 0 1 2 0 0 0 2 0 1 1 1 2 0 1 0 0 0 1
"cheerful" 1 0 1 0 0 0 0 0 0 2 0 0 0 1 1 1 1 0 0 0 0 0 2 0 1 1
"comfortable" 0 0 0 1 0 0 0 0 0 1 0 0 2 2 1 0 1 1 0 2 1 1 2 0 0 0
"different" 0 3 0 0 0 0 0 0 1 0 0 0 2 1 0 2 0 1 3 2 1 0 2 1 1 1
"extraordinary" 0 2 1 0 0 0 0 1 0 0 0 0 1 1 1 1 0 1 1 2 1 0 2 0 1 0
"fair" 0 2 1 0 1 2 1 0 0 0 1 0 1 2 3 0 3 1 2 2 1 2 2 2 0 3
"faithful" 0 5 1 0 2 0 0 0 0 1 0 0 0 0 3 1 3 1 1 3 2 2 2 0 0 1
"free" 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 4 0 0 1 0 1 0
"greatest" 2 3 1 1 0 0 2 2 1 1 0 1 0 4 2 1 1 2 1 3 0 3 0 2 2 0
"happy" 0 5 2 1 0 1 2 1 1 2 0 1 4 0 2 4 2 0 3 8 1 2 5 0 1 1
"honest" 1 4 0 0 2 1 1 0 1 3 3 1 2 2 0 0 3 2 4 5 0 2 2 0 0 2
"pleasant" 2 2 2 0 0 1 0 2 1 0 1 0 1 4 0 0 0 0 2 5 1 1 6 2 1 0
"quiet" 1 4 3 0 1 1 1 0 0 3 3 0 1 2 3 0 0 2 2 4 1 2 3 1 0 2
"religious" 1 2 1 0 1 0 1 1 1 1 1 0 2 0 2 0 2 0 1 1 2 2 0 1 1 1
"rich" 0 3 0 0 1 0 0 3 1 2 1 1 1 3 4 2 2 1 0 4 1 2 3 1 0 1
"safe" 5 6 6 2 2 0 2 2 2 2 3 4 3 8 5 5 4 1 4 0 3 2 11 3 1 3
"secure" 1 1 1 0 0 0 1 1 1 1 2 0 0 1 0 1 1 2 1 3 0 0 4 0 0 0
"sincere" 0 3 0 1 1 0 1 0 0 2 2 0 3 2 2 1 2 2 2 2 0 0 1 0 0 1
"strong" 1 4 7 1 0 2 2 2 2 2 2 1 0 5 2 6 3 0 3 11 4 1 0 3 1 1
"surprising" 2 2 3 2 0 0 0 1 0 2 0 0 2 0 0 2 1 1 1 3 0 0 3 0 0 1
"wise" 1 2 2 0 0 1 0 1 1 0 0 1 2 1 0 1 0 1 0 1 0 0 1 0 0 0
"worth" 1 4 0 1 1 1 0 1 0 3 1 0 0 1 2 0 2 1 1 3 0 1 1 1 0 0
